"filename", "language", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap-grid.css", "CSS", 0, 3886, 0, 6, 193, 4085
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap-grid.min.css", "CSS", 0, 1, 0, 5, 0, 6
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap-grid.rtl.css", "CSS", 0, 3886, 0, 6, 192, 4084
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap-grid.rtl.min.css", "CSS", 0, 1, 0, 5, 0, 6
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap-reboot.css", "CSS", 0, 518, 0, 14, 65, 597
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap-reboot.min.css", "CSS", 0, 1, 0, 5, 0, 6
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap-reboot.rtl.css", "CSS", 0, 524, 0, 6, 64, 594
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 1, 0, 5, 0, 6
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap-utilities.css", "CSS", 0, 4891, 0, 8, 503, 5402
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap-utilities.min.css", "CSS", 0, 1, 0, 5, 0, 6
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap-utilities.rtl.css", "CSS", 0, 4887, 0, 6, 500, 5393
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 1, 0, 5, 0, 6
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap.css", "CSS", 0, 11136, 0, 24, 897, 12057
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap.min.css", "CSS", 0, 2, 0, 4, 0, 6
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap.rtl.css", "CSS", 0, 11138, 0, 6, 886, 12030
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\css\bootstrap.rtl.min.css", "CSS", 0, 2, 0, 4, 0, 6
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\js\bootstrap.bundle.js", "JavaScript", 0, 0, 5064, 655, 596, 6315
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 1, 6, 0, 7
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\js\bootstrap.esm.js", "JavaScript", 0, 0, 3568, 578, 302, 4448
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\js\bootstrap.esm.min.js", "JavaScript", 0, 0, 1, 6, 0, 7
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\js\bootstrap.js", "JavaScript", 0, 0, 3604, 584, 307, 4495
"d:\VS Code Project\Loylen\bootstrap-5.3.3-dist\js\bootstrap.min.js", "JavaScript", 0, 0, 1, 6, 0, 7
"d:\VS Code Project\Loylen\src\components\footer.php", "PHP", 18, 0, 0, 0, 1, 19
"d:\VS Code Project\Loylen\src\components\header.php", "PHP", 29, 0, 0, 0, 1, 30
"d:\VS Code Project\Loylen\src\page\about.php", "PHP", 87, 0, 0, 0, 3, 90
"d:\VS Code Project\Loylen\src\page\cart.php", "PHP", 19, 0, 0, 0, 3, 22
"d:\VS Code Project\Loylen\src\page\lookbook.php", "PHP", 48, 0, 0, 0, 3, 51
"d:\VS Code Project\Loylen\src\page\main.php", "PHP", 277, 0, 0, 0, 6, 283
"d:\VS Code Project\Loylen\src\page\profile.php", "PHP", 50, 0, 0, 0, 3, 53
"d:\VS Code Project\Loylen\src\style\about.css", "CSS", 0, 103, 0, 1, 13, 117
"d:\VS Code Project\Loylen\src\style\footer.css", "CSS", 0, 20, 0, 0, 2, 22
"d:\VS Code Project\Loylen\src\style\header.css", "CSS", 0, 76, 0, 0, 14, 90
"d:\VS Code Project\Loylen\src\style\lookbook.css", "CSS", 0, 45, 0, 0, 10, 55
"d:\VS Code Project\Loylen\src\style\main.css", "CSS", 0, 339, 0, 1, 47, 387
"d:\VS Code Project\Loylen\src\style\profile.css", "CSS", 0, 69, 0, 0, 11, 80
"Total", "-", 528, 41528, 12239, 1951, 4622, 60868
